"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"1","LFBA",2019-12-06 00:00:00,0.5947,44.1722,35.6,35.6,100,100,5,0,30.24,NA,0.31,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,30.67,"LFBA 060000Z AUTO 10005KT 0500 0400 R29/0400N FG VV/// 02/02 Q1024"
"2","LFBA",2019-12-06 00:30:00,0.5947,44.1722,35.6,35.6,100,100,4,0,30.21,NA,0.34,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,31.62,"LFBA 060030Z AUTO 10004KT 0550 0400 R29/0500N FG VV/// 02/02 Q1023"
"3","LFBA",2019-12-06 01:00:00,0.5947,44.1722,35.6,33.8,93.08,100,3,0,30.21,NA,0.25,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,32.8,"LFBA 060100Z AUTO 10003KT 0400 0300 R29/0350N FG VV/// 02/01 Q1023"
"4","LFBA",2019-12-06 01:30:00,0.5947,44.1722,35.6,33.8,93.08,290,1,0,30.21,NA,0.31,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060130Z AUTO 29001KT 0500 0400 R29/0450N FG VV/// 02/01 Q1023"
"5","LFBA",2019-12-06 02:00:00,0.5947,44.1722,35.6,33.8,93.08,0,0,0,30.24,NA,0.34,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060200Z AUTO 00000KT 0550 0450 R29/0550N FG VV/// 02/01 Q1024"
"6","LFBA",2019-12-06 02:30:00,0.5947,44.1722,33.8,32,93.03,0,0,0,30.24,NA,0.34,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060230Z AUTO 00000KT 0550 0450 R29/0550N FG VV/// 01/00 Q1024"
"7","LFBA",2019-12-06 03:00:00,0.5947,44.1722,33.8,33.8,100,100,2,0,30.24,NA,0.28,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060300Z AUTO 10002KT 0450 0350 R29/0400N FG VV/// 01/01 Q1024"
"8","LFBA",2019-12-06 03:30:00,0.5947,44.1722,35.6,35.6,100,120,3,0,30.24,NA,0.25,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,32.8,"LFBA 060330Z AUTO 12003KT 0400 0350 R29/0375N FG VV/// 02/02 Q1024"
"9","LFBA",2019-12-06 04:00:00,0.5947,44.1722,35.6,35.6,100,130,4,0,30.24,NA,0.34,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,31.62,"LFBA 060400Z AUTO 13004KT 0550 0450 R29/0500N FG VV/// 02/02 Q1024"
"10","LFBA",2019-12-06 04:30:00,0.5947,44.1722,35.6,35.6,100,80,3,0,30.24,NA,0.37,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,32.8,"LFBA 060430Z AUTO 08003KT 0600 0450 R29/0550N FG VV/// 02/02 Q1024"
"11","LFBA",2019-12-06 05:00:00,0.5947,44.1722,35.6,35.6,100,110,3,0,30.24,NA,0.25,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,32.8,"LFBA 060500Z AUTO 11003KT 0400 0350 R29/0375N FG VV/// 02/02 Q1024"
"12","LFBA",2019-12-06 05:30:00,0.5947,44.1722,35.6,35.6,100,NA,1,0,30.24,NA,0.28,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060530Z AUTO VRB01KT 0450 0350 R29/0400N FG VV/// 02/02 Q1024 BECMG 0300 FG"
"13","LFBA",2019-12-06 06:00:00,0.5947,44.1722,35.6,35.6,100,130,3,0,30.24,NA,0.22,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,32.8,"LFBA 060600Z AUTO 13003KT 0350 0250 R29/0275N FG VV/// 02/02 Q1024 NOSIG"
"14","LFBA",2019-12-06 06:30:00,0.5947,44.1722,35.6,35.6,100,100,1,0,30.24,NA,0.28,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060630Z AUTO 10001KT 0450 0350 R29/0400N FG VV/// 02/02 Q1024 BECMG 0300 FG"
"15","LFBA",2019-12-06 07:00:00,0.5947,44.1722,37.4,35.6,93.14,0,0,0,30.24,NA,0.25,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060700Z AUTO 00000KT 0400 0300 R29/0375N FG VV/// 03/02 Q1024 BECMG 0300 FG"
"16","LFBA",2019-12-06 07:30:00,0.5947,44.1722,37.4,37.4,100,NA,2,0,30.24,NA,0.28,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060730Z AUTO VRB02KT 0450 0350 R29/0400N FG VV/// 03/03 Q1024 BECMG 0300 FG"
"17","LFBA",2019-12-06 08:00:00,0.5947,44.1722,37.4,37.4,100,NA,1,0,30.24,NA,0.34,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 060800Z AUTO VRB01KT 0550 0450 R29/0600N FG VV/// 03/03 Q1024 BECMG 0300 FG"
"18","LFBA",2019-12-06 08:30:00,0.5947,44.1722,39.2,37.4,93.19,100,4,0,30.24,NA,0.34,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,35.83,"LFBA 060830Z AUTO 10004KT 0550 0450 R29/0600N FG VV/// 04/03 Q1024 NOSIG"
"19","LFBA",2019-12-06 09:00:00,0.5947,44.1722,39.2,37.4,93.19,90,5,0,30.27,NA,0.25,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,34.95,"LFBA 060900Z AUTO 09005KT 0400 0350 R29/0450N FG VV/// 04/03 Q1025 NOSIG"
"20","LFBA",2019-12-06 09:30:00,0.5947,44.1722,39.2,39.2,100,90,3,0,30.27,NA,0.28,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,36.92,"LFBA 060930Z AUTO 09003KT 0450 0400 R29/0550N FG VV/// 04/04 Q1025 NOSIG"
"21","LFBA",2019-12-06 10:00:00,0.5947,44.1722,39.2,39.2,100,100,4,0,30.27,NA,0.28,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,35.83,"LFBA 061000Z AUTO 10004KT 0450 0400 R29/0550N FG VV/// 04/04 Q1025 NOSIG"
"22","LFBA",2019-12-06 10:30:00,0.5947,44.1722,41,39.2,93.24,NA,2,0,30.27,NA,0.4,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,NA,"LFBA 061030Z AUTO VRB02KT 0650 0600 R29/0800N FG VV/// 05/04 Q1025 BECMG 0500 FG"
"23","LFBA",2019-12-06 11:00:00,0.5947,44.1722,41,39.2,93.24,NA,3,0,30.24,NA,1.06,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"BCFG",NA,NA,NA,NA,NA,NA,38.98,"LFBA 061100Z AUTO VRB03KT 1700 R29/1100U BCFG VV/// 05/04 Q1024 BECMG 0500 FG"
"24","LFBA",2019-12-06 11:30:00,0.5947,44.1722,41,41,100,120,5,0,30.24,NA,1.68,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,37.08,"LFBA 061130Z AUTO 12005KT 2700 BR OVC002 05/05 Q1024 BECMG VV///"
"25","LFBA",2019-12-06 12:00:00,0.5947,44.1722,41,41,100,120,5,0,30.21,NA,1.86,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,37.08,"LFBA 061200Z AUTO 12005KT 3000 1400 R29/1700D BR OVC002 05/05 Q1023 BECMG VV///"
"26","LFBA",2019-12-06 12:30:00,0.5947,44.1722,42.8,41,93.3,110,4,0,30.21,NA,1.62,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,40.03,"LFBA 061230Z AUTO 11004KT 080V140 2600 BR OVC002 06/05 Q1023 BECMG VV///"
"27","LFBA",2019-12-06 13:00:00,0.5947,44.1722,42.8,42.8,100,110,5,0,30.21,NA,1.37,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,39.22,"LFBA 061300Z AUTO 11005KT 2200 BR OVC002 06/06 Q1023 BECMG VV///"
"28","LFBA",2019-12-06 13:30:00,0.5947,44.1722,42.8,42.8,100,90,4,0,30.21,NA,1.8,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,40.03,"LFBA 061330Z AUTO 09004KT 2900 BR OVC002 06/06 Q1023 BECMG VV///"
"29","LFBA",2019-12-06 14:00:00,0.5947,44.1722,42.8,42.8,100,100,5,0,30.18,NA,1.12,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,39.22,"LFBA 061400Z AUTO 10005KT 1800 BR OVC002 06/06 Q1022 BECMG VV///"
"30","LFBA",2019-12-06 14:30:00,0.5947,44.1722,42.8,42.8,100,100,5,0,30.18,NA,2.05,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,39.22,"LFBA 061430Z AUTO 10005KT 3300 BR OVC002 06/06 Q1022 TEMPO 2000 BR BECMG VV///"
"31","LFBA",2019-12-06 15:00:00,0.5947,44.1722,42.8,42.8,100,110,5,0,30.18,NA,2.8,NA,"OVC",NA,NA,NA,300,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,39.22,"LFBA 061500Z AUTO 11005KT 4500 BR OVC003 06/06 Q1022 TEMPO 2000 BR BECMG VV///"
"32","LFBA",2019-12-06 15:30:00,0.5947,44.1722,44.6,42.8,93.35,110,4,0,30.18,NA,2.67,NA,"OVC",NA,NA,NA,300,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,42.13,"LFBA 061530Z AUTO 11004KT 4300 BR OVC003 07/06 Q1022 TEMPO 2000 BR BECMG VV///"
"33","LFBA",2019-12-06 16:00:00,0.5947,44.1722,42.8,42.8,100,100,4,0,30.18,NA,1.43,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,40.03,"LFBA 061600Z AUTO 10004KT 050V150 2300 BR OVC002 06/06 Q1022 BECMG VV///"
"34","LFBA",2019-12-06 16:30:00,0.5947,44.1722,42.8,42.8,100,110,5,0,30.18,NA,1.55,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,39.22,"LFBA 061630Z AUTO 11005KT 2500 BR OVC002 06/06 Q1022 BECMG VV///"
"35","LFBA",2019-12-06 17:00:00,0.5947,44.1722,42.8,42.8,100,120,4,0,30.18,NA,2.67,NA,"OVC",NA,NA,NA,300,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,40.03,"LFBA 061700Z AUTO 12004KT 090V150 4300 BR OVC003 06/06 Q1022 TEMPO 2000 BR BECMG VV///"
"36","LFBA",2019-12-06 17:30:00,0.5947,44.1722,42.8,42.8,100,120,4,0,30.18,NA,2.05,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,40.03,"LFBA 061730Z AUTO 12004KT 3300 BR OVC002 06/06 Q1022 TEMPO 2000 BR BECMG VV///"
"37","LFBA",2019-12-06 18:00:00,0.5947,44.1722,42.8,42.8,100,110,5,0,30.18,NA,1.06,NA,"OVC",NA,NA,NA,200,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,39.22,"LFBA 061800Z AUTO 11005KT 1700 1400 R29/1900D BR OVC002 06/06 Q1022 TEMPO 0500 FG VV///"
"38","LFBA",2019-12-06 18:30:00,0.5947,44.1722,42.8,42.8,100,140,4,0,30.18,NA,0.99,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,40.03,"LFBA 061830Z AUTO 14004KT 1600 BR VV/// 06/06 Q1022 TEMPO 0500 FG"
"39","LFBA",2019-12-06 19:00:00,0.5947,44.1722,42.8,42.8,100,120,4,0,30.18,NA,0.37,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,40.03,"LFBA 061900Z AUTO 12004KT 0600 0500 R29/0600N FG VV/// 06/06 Q1022 NOSIG"
"40","LFBA",2019-12-06 19:30:00,0.5947,44.1722,42.8,42.8,100,120,4,0,30.18,NA,0.34,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,40.03,"LFBA 061930Z AUTO 12004KT 100V180 0550 0500 R29/0600U FG VV/// 06/06 Q1022 NOSIG"
"41","LFBA",2019-12-06 20:00:00,0.5947,44.1722,42.8,42.8,100,110,4,0,30.18,NA,0.31,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,40.03,"LFBA 062000Z AUTO 11004KT 0500 0450 R29/0550N FG VV/// 06/06 Q1022 NOSIG"
"42","LFBA",2019-12-06 20:30:00,0.5947,44.1722,42.8,42.8,100,NA,3,0,30.18,NA,0.31,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,41.03,"LFBA 062030Z AUTO VRB03KT 0500 0450 R29/0550N FG VV/// 06/06 Q1022 NOSIG"
"43","LFBA",2019-12-06 21:00:00,0.5947,44.1722,42.8,42.8,100,90,4,0,30.21,NA,0.34,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,40.03,"LFBA 062100Z AUTO 09004KT 0550 0500 R29/0550N FG VV/// 06/06 Q1023 NOSIG"
"44","LFBA",2019-12-06 21:30:00,0.5947,44.1722,42.8,41,93.3,110,5,0,30.21,NA,0.37,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,39.22,"LFBA 062130Z AUTO 11005KT 0600 0550 R29/0650N FG VV/// 06/05 Q1023 NOSIG"
"45","LFBA",2019-12-06 22:00:00,0.5947,44.1722,42.8,41,93.3,120,3,0,30.21,NA,0.4,NA,"VV ",NA,NA,NA,NA,NA,NA,NA,"FG",NA,NA,NA,NA,NA,NA,41.03,"LFBA 062200Z AUTO 12003KT 0650 0600 R29/0750N FG VV/// 06/05 Q1023 TEMPO 0500 FG"
